% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 28 2022, 15:48
% Dimension:          3
% Nodes:              500
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=500, Material Switch 1=Air       mf.By (T) @ freq=500, Material Switch 1=Air       mf.Bz (T) @ freq=500, Material Switch 1=Air
-0.03                     0                        0.0015                   1.3242297409826916E-5-5.6250234779140294E-11i     -1.6125257811319682E-8+7.393789929765377E-14i     -7.188252067747886E-5+3.070639316154154E-10i
-0.029879759519038075     0                        0.0015                   1.3783606262671752E-5-5.857843067625598E-11i      3.1428896828805675E-8-1.2813147445752969E-13i     -7.31215866197651E-5+3.121771228804632E-10i
-0.02975951903807615      0                        0.0015                   1.4324915115517347E-5-6.090662657337167E-11i      7.898305146871419E-8-3.3020084821271315E-13i      -7.436065256205174E-5+3.1729031414551457E-10i
-0.029639278557114228     0                        0.0015                   1.4866223968363268E-5-6.323482247049274E-11i      1.2653720610818903E-7-5.322702219687238E-13i      -7.559971850433725E-5+3.2240350541056277E-10i
-0.029519038076152304     0                        0.0015                   1.5407532821208646E-5-6.55630183676109E-11i       1.7409136074831438E-7-7.343395957239072E-13i      -7.683878444662327E-5+3.2751669667561055E-10i
-0.02939879759519038      0                        0.0015                   1.5948841674053374E-5-6.789121426472577E-11i      2.216455153893071E-7-9.36408969475782E-13i        -7.807785038891019E-5+3.326298879406576E-10i
-0.029278557114228457     0                        0.0015                   1.6010416713854467E-5-6.814814559812823E-11i      5.761549069878066E-7-2.4871069955183094E-12i      -7.939001674992809E-5+3.3800146976080956E-10i
-0.029158316633266533     0                        0.0015                   1.7190424938618042E-5-7.320007729359098E-11i      -2.2777882557726854E-7+1.0006727942733741E-12i    -8.069455584070346E-5+3.433521698558979E-10i
-0.02903807615230461      0                        0.0015                   1.7786422289408464E-5-7.576494814745561E-11i      -2.867463765562125E-7+1.253972986007731E-12i      -8.203304769392316E-5+3.4885161200844315E-10i
-0.028917835671342686     0                        0.0015                   1.838241964019568E-5-7.832981900130721E-11i       -3.4571392753331327E-7+1.5072731777280256E-12i    -8.337153954714193E-5+3.543510541609886E-10i
-0.028797595190380762     0                        0.0015                   1.8978416990986737E-5-8.089468985517585E-11i      -4.046814785099804E-7+1.7605733694574193E-12i     -8.471003140036142E-5+3.5985049631353405E-10i
-0.02867735470941884      0                        0.0015                   1.9703809654586686E-5-8.40274583354376E-11i       -1.5536152472134766E-7+6.706232129635039E-13i     -8.622686829225914E-5+3.661057287557235E-10i
-0.028557114228456915     0                        0.0015                   2.0463460289806945E-5-8.728021631682682E-11i      -1.6652564830072283E-7+7.141530656812457E-13i     -8.797044518172713E-5+3.7327627631125154E-10i
-0.028436873747494987     0                        0.0015                   2.1223110925028992E-5-9.05329742982113E-11i       -1.776897718817243E-7+7.576829184014689E-13i      -8.971402207119371E-5+3.8044682386677924E-10i
-0.028316633266533064     0                        0.0015                   2.1982761560249576E-5-9.378573227959163E-11i      -1.888538954612079E-7+8.012127711175563E-13i      -9.145759896066034E-5+3.8761737142230203E-10i
-0.02819639278557114      0                        0.0015                   2.2742412195468804E-5-9.703849026097238E-11i      -2.0001801904166727E-7+8.447426238365388E-13i     -9.320117585012673E-5+3.9478791897782637E-10i
-0.028076152304609216     0                        0.0015                   2.3502062830688792E-5-1.0029124824235417E-10i     -2.1118214262125928E-7+8.882724765528329E-13i     -9.49447527395943E-5+4.019584665333582E-10i
-0.027955911823647293     0                        0.0015                   2.4755685221080183E-5-1.0566552609705897E-10i     -2.1550956677443382E-7+9.153274929703632E-13i     -9.692969656285323E-5+4.10174846212127E-10i
-0.02783567134268537      0                        0.0015                   2.629493383142457E-5-1.122707901465103E-10i       4.035533205087177E-8-1.9960078419941458E-13i      -9.818250101712846E-5+4.1525368651807894E-10i
-0.027715430861723445     0                        0.0015                   2.7134148058972256E-5-1.1587394065458908E-10i     8.59923475764364E-8-3.9321690945564743E-13i       -9.997171524078318E-5+4.225993164428011E-10i
-0.02759519038076152      0                        0.0015                   2.797336228651799E-5-1.194770911626662E-10i       1.3162936310200102E-7-5.868330347069172E-13i      -1.017609294644363E-4+4.299449463675147E-10i
-0.027474949899799598     0                        0.0015                   2.8812576514065458E-5-1.230802416707491E-10i      1.7726637862886668E-7-7.804491599648044E-13i      -1.0355014368809115E-4+4.372905762922369E-10i
-0.027354709418837674     0                        0.0015                   2.9651790741612493E-5-1.2668339217882788E-10i     2.2290339415486499E-7-9.740652852177285E-13i      -1.0533935791174522E-4+4.4463620621695347E-10i
-0.02723446893787575      0                        0.0015                   3.0491004969157684E-5-1.3028654268689673E-10i     2.685404096804296E-7-1.167681410472307E-12i       -1.0712857213539904E-4+4.5198183614166944E-10i
-0.027114228456913827     0                        0.0015                   3.13302191967038E-5-1.3388969319497468E-10i       3.1417742520599423E-7-1.3612975357252311E-12i     -1.0891778635905314E-4+4.59327466066391E-10i
-0.026993987975951903     0                        0.0015                   3.21694334242515E-5-1.3749284370306209E-10i       3.598144407324262E-7-1.554913660981464E-12i       -1.1070700058270791E-4+4.66673095991109E-10i
-0.02687374749498998      0                        0.0015                   3.4170411338370436E-5-1.4599343725275043E-10i     1.6419026004142571E-7-6.803607044327924E-13i      -1.1465604544705257E-4+4.831157097124385E-10i
-0.026753507014028056     0                        0.0015                   3.5995627730366856E-5-1.537898870906638E-10i      1.0632022307693889E-8-2.498527807242019E-14i      -1.1539008159226923E-4+4.858970781598759E-10i
-0.026633266533066132     0                        0.0015                   3.736675713137674E-5-1.596616086944631E-10i       -4.717075156000783E-8+2.2281120199241417E-13i     -1.1774304173377926E-4+4.955408257293311E-10i
-0.02651302605210421      0                        0.0015                   3.8737886532391394E-5-1.6553333029828722E-10i     -1.0497352542077065E-7+4.706076820605573E-13i     -1.2009600187529022E-4+5.051845732987892E-10i
-0.026392785571142285     0                        0.0015                   4.010901593340301E-5-1.7140505190210306E-10i      -1.6277629928587029E-7+7.18404162108848E-13i      -1.2244896201680058E-4+5.148283208682426E-10i
-0.02627254509018036      0                        0.0015                   4.1480145334416366E-5-1.7727677350592884E-10i     -2.2057907315096992E-7+9.662006421802998E-13i     -1.2480192215831126E-4+5.244720684376972E-10i
-0.026152304609218437     0                        0.0015                   4.285127473542885E-5-1.831484951097298E-10i       -2.7838184701173274E-7+1.213997122235208E-12i     -1.27154882299822E-4+5.341158160071514E-10i
-0.02603206412825651      0                        0.0015                   4.556322818745069E-5-1.9471761706187853E-10i      7.049189956390535E-7-3.000622492782355E-12i       -1.3059980289177597E-4+5.483685188304657E-10i
-0.025911823647294586     0                        0.0015                   4.7013421304060044E-5-2.0090152039131035E-10i     -7.03895302433654E-8+3.055089555050071E-13i       -1.329469880214987E-4+5.57954342365287E-10i
-0.025791583166332663     0                        0.0015                   4.885727849628313E-5-2.0877949658034231E-10i      1.4856154738123947E-7-6.265514172477966E-13i      -1.3551331232399715E-4+5.684606515629413E-10i
-0.02567134268537074      0                        0.0015                   5.070113568850861E-5-2.1665747276938917E-10i      3.67512625006522E-7-1.5586117900053307E-12i       -1.3807963662649636E-4+5.789669607605963E-10i
